Code,Meaning,Points awarded,Counts for participation %?,Included in series/season totals?,Counts as a race for throwouts?
(blank),Clean finish,"Place (1, 2, 3…)",Yes,Yes,Yes
OCS,On course side at start,Starters + 1,Yes,Yes,Yes
DNF,Did not finish,Starters + 1,Yes,Yes,Yes
RET,Retired,Starters + 1,Yes,Yes,Yes
DNC,Did not come to start,Starters + 2,No,No,No
DSQ,Disqualified,Starters + 2,Yes,Yes,Yes
DNE,"DSQ, non-excludable",Starters + 2,Yes,Yes,No
TLE,Time limit expired,Finishers + 2,Yes,Yes,Yes
BYE,Series bye,Avg of boat's other races in series,Yes,Yes,Yes
NSC,Did not sail the course,Starters + 1 (same as DNF),Yes,Yes,Yes
ABN,"Race abandoned, boat was at the line",None — no number recorded,Yes,No,No
